Ticker,Name,Sector,ISIN,SEDOL
NXT LN,Next plc,General Retailers,GB0032089863,3208986
OCDO LN,Ocado Group,Food & Drug Retailers,GB00B3MBS747,B3MBS74
PSON LN,Pearson plc,Media,GB0006776081,677608
PNN LN,Pennon Group,Water,GB00B18V8630,B18V863
PSH LN,Pershing Square Holdings,Financial Services,GG00BPFJTF46,BS7JCJ8
PSN LN,Persimmon plc,Household Goods & Home Construction,GB0006825383,682538
PHNX LN,Phoenix Group,Life Insurance,GB00BGXQNP29,BGXQNP2
POLY LN,Polymetal International,Precious Metals & Mining,JE00B6T5S470,B6T5S47
PRU LN,Prudential plc,Life Insurance,GB0007099541,709954
RB/ LN,Reckitt Benckiser,Household Goods & Home Construction,GB00B24CGK77,B24CGK7
REL LN,RELX,Media,GB00B2B0DG97,B2B0DG9
RTO LN,Rentokil Initial,Support Services,GB00B082RF11,B082RF1
RMV LN,Rightmove,Media,GB00BGDT3G23,BGDT3G2
RIO LN,Rio Tinto,Mining,GB0007188757,718875
RR/ LN,Rolls-Royce Holdings,Aerospace & Defence,GB00B63H8491,B63H849
RDSA LN,Royal Dutch Shell,Oil & Gas Producers,GB00B03MLX29,B03MLX2
RSA LN,RSA Insurance Group,Nonlife Insurance,GB00BKKMKR23,BKKMKR2
SGE LN,Sage Group,Software & Computer Services,GB00B8C3BL03,B8C3BL0
SBRY LN,Sainsbury's,Food & Drug Retailers,GB00B019KW72,B019KW7
SDR LN,Schroders,Financial Services,GB0002405495,240549
SMT LN,Scottish Mortgage Investment Trust,Equity Investment Instruments,GB00BLDYK618,BLDYK61
SGRO LN,Segro,Real Estate Investment Trusts,GB00B5ZN1N88,B5ZN1N8
SVT LN,Severn Trent,"Gas, Water & Multi-utilities",GB00B1FH8J72,B1FH8J7
SMDS LN,DS Smith,General Industrials,GB0008220112,822011
SMIN LN,Smiths Group,General Industrials,GB00B1WY2338,B1WY233
SN/ LN,Smith & Nephew,Health Care Equipment & Services,GB0009223206,922320
SKG LN,Smurfit Kappa,General Industrials,IE00B1RR8406,B1RR840
SPX LN,Spirax-Sarco Engineering,Industrial Engineering,GB00BWFGQN14,BWFGQN1
SSE LN,SSE plc,Electricity,GB0007908733,790873
STAN LN,Standard Chartered,Banks,GB0004082847,408284
SLA LN,Standard Life Aberdeen,Financial Services,GB00BF8Q6K64,BF8Q6K6
STJ LN,St. James's Place plc,Life Insurance,GB0007669376,766937
TW/ LN,Taylor Wimpey,Household Goods & Home Construction,GB0008782301,878230
TSCO LN,Tesco,Food & Drug Retailers,GB00BLGZ9862,BLGZ986
ULVR LN,Unilever,Personal Goods,GB00B10RZP78,B10RZP7
UU/ LN,United Utilities,"Gas, Water & Multi-utilities",GB00B39J2M42,B39J2M4
VOD LN,Vodafone Group,Mobile Telecommunications,GB00BH4HKS39,BH4HKS3
WTB LN,Whitbread,Retail hospitality,GB00B1KJJ408,B1KJJ40
WPP LN,WPP plc,Media,JE00B8KF9B49,B8KF9B4
