Ticker,Name,Sector,ISIN,SEDOL,ClientInternal
STAN LN,Standard Chartered,Banks,GB0004082847,408284,EQ13FB2DF20A554
SLA LN,Standard Life Aberdeen,Financial Services,GB00BF8Q6K64,BF8Q6K6,EQC272FDBAA60C4
STJ LN,St. James's Place plc,Life Insurance,GB0007669376,766937,EQ55A76BD5361B4
TW/ LN,Taylor Wimpey,Household Goods & Home Construction,GB0008782301,878230,EQAE60F635C0FE4
TSCO LN,Tesco,Food & Drug Retailers,GB00BLGZ9862,BLGZ986,EQ47FD7AEB8FEF4
ULVR LN,Unilever,Personal Goods,GB00B10RZP78,B10RZP7,EQEE4924E62C104
UU/ LN,United Utilities,"Gas, Water & Multi-utilities",GB00B39J2M42,B39J2M4,EQCF71A47FACCD4
VOD LN,Vodafone Group,Mobile Telecommunications,GB00BH4HKS39,BH4HKS3,EQE85605B10C774
WTB LN,Whitbread,Retail hospitality,GB00B1KJJ408,B1KJJ40,EQDFC97C36CAF04
WPP LN,WPP plc,Media,JE00B8KF9B49,B8KF9B4,EQ2C0C9552A6A24
